transaction_id,invoice_id,merchant,amount,date,status
PAY-0033,INV-0033,Lumen Labs,5771,2026-08-06,settled
PAY-0034,INV-0034,Vertex Studio,5908,2026-08-07,settled
PAY-0035,INV-0035,Aster Health,6045,2026-08-08,settled
PAY-0036,INV-0036,Pixel Works,6182,2026-08-09,settled
PAY-0037,INV-0037,Northstar Tech,6319,2026-08-10,settled
PAY-0038,INV-0038,Bluewave Logistics,6456,2026-08-11,settled
PAY-0039,INV-0039,Cedar Market,6593,2026-08-12,settled
PAY-0040,INV-0040,Kite Systems,6730,2026-08-13,settled
PAY-0041,INV-0041,Nova Retail,6867,2026-08-14,settled
PAY-0042,INV-0042,Orbit Foods,7004,2026-08-15,settled
PAY-0043,INV-0043,Lumen Labs,7141,2026-08-16,settled
PAY-0044,INV-0044,Vertex Studio,7278,2026-08-17,settled
PAY-0045,INV-0045,Aster Health,7415,2026-08-18,settled
PAY-0046,INV-0046,Pixel Works,7552,2026-08-19,settled
PAY-0047,INV-0047,Northstar Tech,7689,2026-08-20,settled
PAY-0048,INV-0048,Bluewave Logistics,7826,2026-08-21,settled
PAY-0049,INV-0049,Cedar Market,7963,2026-08-22,settled
PAY-0050,INV-0050,Kite Systems,8100,2026-08-23,settled
PAY-0051,INV-0051,Nova Retail,8237,2026-08-24,settled
PAY-0052,INV-0052,Orbit Foods,8374,2026-08-25,settled
PAY-0053,INV-0053,Lumen Labs,8511,2026-08-26,settled
PAY-0054,INV-0054,Vertex Studio,8648,2026-08-27,settled
PAY-0055,INV-0055,Aster Health,8785,2026-08-28,settled
PAY-0056,INV-0056,Pixel Works,8922,2026-08-01,settled
PAY-0057,INV-0057,Northstar Tech,9059,2026-08-02,settled
PAY-0058,INV-0058,Bluewave Logistics,9196,2026-08-03,settled
PAY-0059,INV-0059,Cedar Market,9333,2026-08-04,settled
PAY-0060,INV-0060,Kite Systems,9470,2026-08-05,settled
PAY-0061,INV-0061,Nova Retail,9607,2026-08-06,settled
PAY-0062,INV-0062,Orbit Foods,9744,2026-08-07,settled
PAY-0063,INV-0063,Lumen Labs,9881,2026-08-08,settled
PAY-0064,INV-0064,Vertex Studio,10018,2026-08-09,settled
PAY-0065,INV-0065,Aster Health,10155,2026-08-10,settled
PAY-0066,INV-0066,Pixel Works,10292,2026-08-11,settled
PAY-0067,INV-0067,Northstar Tech,10429,2026-08-12,settled
PAY-0068,INV-0068,Bluewave Logistics,10566,2026-08-13,settled
PAY-0069,INV-0069,Cedar Market,10703,2026-08-14,settled
PAY-0070,INV-0070,Kite Systems,10840,2026-08-15,settled
PAY-0071,INV-0071,Nova Retail,10977,2026-08-16,settled
PAY-0072,INV-0072,Orbit Foods,11114,2026-08-17,settled
PAY-0073,INV-0073,Lumen Labs,11251,2026-08-18,settled
PAY-0074,INV-0074,Vertex Studio,11388,2026-08-19,settled
PAY-0075,INV-0075,Aster Health,11525,2026-08-20,settled
PAY-0076,INV-0076,Pixel Works,11662,2026-08-21,settled
PAY-0077,INV-0077,Northstar Tech,11799,2026-08-22,settled
PAY-0078,INV-0078,Bluewave Logistics,11936,2026-08-23,settled
PAY-0079,INV-0079,Cedar Market,12073,2026-08-24,settled
PAY-0080,INV-0080,Kite Systems,12210,2026-08-25,settled
PAY-0081,INV-0081,Nova Retail,12347,2026-08-26,settled
PAY-0082,INV-0082,Orbit Foods,12484,2026-08-27,settled
PAY-0083,INV-0083,Lumen Labs,12621,2026-08-28,settled
PAY-0084,INV-0084,Vertex Studio,12758,2026-08-01,settled
PAY-0085,INV-0085,Aster Health,12895,2026-08-02,settled
PAY-0086,INV-0086,Pixel Works,13032,2026-08-03,settled
PAY-0087,INV-0087,Northstar Tech,13169,2026-08-04,settled
PAY-0088,INV-0088,Bluewave Logistics,13306,2026-08-05,settled
PAY-0089,INV-0089,Cedar Market,13443,2026-08-06,settled
PAY-0090,INV-0090,Kite Systems,13580,2026-08-07,settled
PAY-0091,INV-0091,Nova Retail,13717,2026-08-08,settled
PAY-0092,INV-0092,Orbit Foods,13854,2026-08-09,settled
PAY-0093,INV-0093,Lumen Labs,13991,2026-08-10,settled
PAY-0094,INV-0094,Vertex Studio,14128,2026-08-11,settled
PAY-0095,INV-0095,Aster Health,14265,2026-08-12,settled
PAY-0096,INV-0096,Pixel Works,14402,2026-08-13,settled
PAY-0097,INV-0097,Northstar Tech,14539,2026-08-14,settled
PAY-0098,INV-0098,Bluewave Logistics,14676,2026-08-15,settled
PAY-0099,INV-0099,Cedar Market,14813,2026-08-16,settled
PAY-0100,INV-0100,Kite Systems,14950,2026-08-17,settled
